artist_id,artist_name,month,royalties_usd,spotify_streams,instagram_followers,twitter_followers,track_release_date
A00471,Wayne Galvan,2025-08,2108.57,706735,365007,2672,2024-08-06
A00230,Eugene Dominguez,2025-08,13988.66,670194,454757,174063,2025-07-07
A00424,Dr. Christian Farmer,2025-08,14113.76,255359,283100,164595,2024-11-20
A00413,Natasha Tapia,2025-08,14646.34,169319,64343,31272,2023-09-18
A00466,Timothy Lynch,2025-08,8589.3,169821,452440,122149,2023-07-03
A00284,Scott Holloway,2025-08,16361.51,954519,435674,155179,2025-06-16
A00444,Patrick Smith,2025-08,5106.34,672859,110800,125304,2024-08-30
A00111,Susan Fleming,2025-08,2636.36,909528,326752,94631,2024-06-19
A00414,Misty Martinez,2025-08,3654.03,140424,167061,30539,2024-12-01
A00267,Carl Jones,2025-08,10091.62,984648,220470,34206,2023-06-04
A00117,Christine Smith,2025-08,15806.95,764759,399527,110050,2022-10-03
A00343,Jamie Davidson,2025-08,17554.18,46644,37636,1599,2023-04-07
A00058,Stephanie Mcguire,2025-08,525.6,979820,244299,92149,2025-06-20
A00184,Valerie Andrews,2025-08,7120.13,811958,450364,28253,2023-12-08
A00274,Jack Jones,2025-08,17051.67,441641,45958,17464,2023-05-04
A00333,Daniel Kelley,2025-08,2398.58,706217,312282,181499,2024-07-14
A00415,Rachel Tucker,2025-08,14048.15,854901,448951,173034,2023-11-27
A00378,Lawrence Mcgrath,2025-08,5234.92,351528,368378,127959,2024-12-26
A00110,Noah Murphy,2025-08,8097.36,582329,243079,157702,2022-09-22
A00114,Tiffany Graham,2025-08,19298.45,559711,103275,21523,2022-08-07
A00062,Stephanie Andrews,2025-08,370.0,815586,172911,144661,2024-02-14
A00346,Elizabeth Berg,2025-08,10663.41,66978,91569,40316,2024-04-18
A00173,Vincent Hamilton,2025-08,6034.23,464890,402101,18849,2023-12-17
A00162,Kimberly Gibbs,2025-08,5218.31,533626,376081,15816,2023-07-27
A00303,Kelly Mcintosh,2025-08,3879.84,288743,351842,82906,2025-04-05
A00096,Elizabeth Schmitt,2025-08,3556.19,567277,68238,127955,2022-08-08
A00338,Amy Green,2025-08,14301.55,118548,121328,138467,2024-02-19
A00066,James Clayton,2025-08,13704.13,726797,399094,29322,2024-05-27
A00326,Jeffrey Zavala,2025-08,5082.34,334774,364190,46162,2023-05-16
A00049,James Barker,2025-08,2020.91,755610,490850,45125,2022-09-07
A00474,Tanya Davis,2025-08,7429.59,49514,85891,71161,2023-01-11
A00455,Jessica Jones,2025-08,10515.23,465708,9431,175518,2023-06-28
A00028,David Ingram,2025-08,3651.85,799798,210171,35370,2024-02-01
A00042,Brianna Gonzalez,2025-08,16971.1,232542,224419,104072,2025-01-10
A00432,Tiffany Curtis,2025-08,14883.67,148180,170118,179776,2025-05-15
A00170,Christopher Holloway,2025-08,9598.13,816327,160907,117343,2022-08-27
A00143,Deborah Levy,2025-08,1866.03,229811,481862,96171,2025-01-22
A00068,Juan Davis,2025-08,15515.81,830538,156642,137987,2024-06-29
A00349,Joshua Buck,2025-08,18677.09,128878,452835,92053,2024-07-13
A00388,Mr. Jerry Washington,2025-08,16100.23,625669,95584,71507,2023-09-20
A00236,Peter Gould,2025-08,2204.48,294222,305845,159257,2022-12-02
A00127,Crystal Ibarra,2025-08,9510.54,319666,118839,149169,2024-12-28
A00102,Benjamin Hawkins,2025-08,14336.91,520090,386036,175770,2025-02-11
A00063,Michael Mayo,2025-08,4157.19,741256,366173,60693,2024-09-12
A00226,Matthew Fox,2025-08,637.14,243093,237847,106030,2023-12-02
A00219,Kristin Dorsey,2025-08,15060.3,509283,346775,52620,2025-03-31
A00120,Robert Stewart,2025-08,13186.44,627018,24563,152819,2024-12-29
A00376,Jonathan Turner,2025-08,18998.95,403298,377693,165054,2023-10-27
A00118,Karen Kim,2025-08,2646.47,146646,329669,123900,2023-09-15
A00039,Christopher Smith,2025-08,11200.33,762788,233208,89817,2022-11-16
A00072,Jesse Cobb,2025-08,15293.77,871713,339537,159908,2022-11-03
A00379,Karl Patel,2025-08,3859.24,768471,497107,95256,2022-09-13
A00427,Scott Martinez,2025-08,8214.95,791143,164493,56392,2024-05-23
A00383,Anne Gross,2025-08,14082.64,413631,425294,87321,2024-06-05
A00132,Karen Contreras,2025-08,14636.43,175304,464702,55554,2023-08-16
A00202,Emma Cole,2025-08,9124.8,938728,106693,71714,2024-02-20
A00321,Bryan Hall,2025-08,19680.46,433401,194688,134076,2024-07-02
A00037,Cheryl Robinson,2025-08,19381.57,202088,107528,157923,2023-03-25
A00113,Desiree Vega,2025-08,17031.35,659325,470209,138119,2023-03-14
A00243,Casey Williams,2025-08,11526.11,853276,397967,109552,2025-03-26
A00193,Vanessa Ortiz,2025-08,13649.74,74558,453900,69511,2025-03-01
A00245,Sherry Rhodes,2025-08,9630.05,194294,289973,46167,2025-06-20
A00444,Tyler Lee,2025-08,241.59,39974,372759,111204,2025-04-27
A00333,Michelle Hill,2025-08,7390.91,744771,22924,139953,2023-06-07
A00110,Whitney Reyes,2025-08,8287.34,666873,131251,16149,2025-07-18
A00007,Marissa Campbell,2025-08,9390.18,87691,237491,168893,2024-12-21
A00324,Mr. Paul Silva,2025-08,3951.09,668027,177923,157916,2024-05-09
A00252,Kelly Becker,2025-08,17630.62,799653,289662,52668,2025-04-06
A00080,Kimberly Hall,2025-08,10003.08,842481,365545,8937,2023-09-04
A00184,Thomas Grant,2025-08,15885.24,754979,205171,190760,2025-02-24
A00203,Allen Foster,2025-08,12320.37,696294,353404,14917,2025-05-10
A00330,Robert Morgan,2025-08,13776.64,709743,296397,155302,2024-11-25
A00147,Jose Mitchell,2025-08,6935.09,825017,51038,74812,2025-05-25
A00257,Gregory Bowers,2025-08,10299.85,444900,233580,74807,2024-03-01
A00431,Joseph Smith,2025-08,10438.15,146146,163959,50223,2024-06-01
A00436,Gary Fowler,2025-08,9219.88,798984,240527,144134,2025-05-07
